"FSC-A","RL1-A","YL2-A"
506201,29163,21768
513765,18831,6656
469116,39417,14869
649779,95452,42117
507823,2502,13920
630034,42661,9586
489192,19584,19227
373879,14243,24270
666490,42711,20346
480353,21391,7551
263677,16435,225
472766,29524,23862
618798,26429,3444
430373,23524,12924
608936,39911,24207
495895,3084,981
713581,36485,18217
699012,77137,26336
523097,20324,10522
435107,36444,21592
636918,65340,29846
513718,26497,9402
449750,66799,92937
463340,19731,10118
581952,12973,9856
801930,21214,11786
400935,19044,16892
506803,11723,5900
646154,32245,16261
472824,28370,13919
436732,17228,8177
457214,20514,9976
659892,28288,12311
525899,3721,1138
594855,89827,52550
472951,35240,12357
443619,14314,19712
541736,5041,796
556986,34578,25447
556648,29879,8042
246509,8865,835
444925,13325,6160
561586,31191,22963
487575,15962,4369
704993,64697,16077
601573,14805,5302
496126,21815,10437
481874,17146,8393
504578,681,82
337265,16969,318
579844,29626,10156
555720,38514,14062
473790,46419,22366
489973,49797,23492
465809,47299,36114
496574,37126,19846
399718,25783,27617
495321,71822,33314
547333,39702,18571
448632,12487,3344
571684,9020,8753
451554,52462,28549
523056,17566,4929
497187,27790,16729
620436,56999,25978
553479,21754,11768
577471,45332,20568
531533,20362,6041
484669,31591,16551
581034,67092,38171
397786,24099,11235
478514,19349,7049
387204,27362,11752
450270,21382,10698
446329,23521,19652
516880,28766,14802
592140,50450,27551
450679,13732,7397
474640,7109,3490
513422,33760,10254
464598,36626,20313
423616,36837,14898
505234,34399,15555
357004,32440,24435
300918,7867,3007
555603,35142,18136
459941,18128,5312
570398,14665,7585
394093,11067,20870
555909,15168,5228
570099,78928,34327
495271,44534,30422
566403,34532,15710
595864,56982,27120
521862,17648,9928
539736,19185,10170
538082,59522,33553
542321,38455,11759
458768,10699,8700
589767,31847,12823
597032,33355,12884
453563,6129,24917
565771,39255,12467
722040,62827,5452
331639,15751,15023
572146,40019,33284
462322,571,50
493052,15647,8120
592670,29685,15876
498602,18632,7355
587638,40879,11501
323465,519,111
468933,26854,16567
515342,47497,18543
361947,17335,13
518212,20652,10335
571639,27598,17938
508531,17796,13813
449876,35252,20150
474158,20138,11902
520863,27905,15590
709728,70984,37325
334245,43714,28573
513498,29157,12400
516225,2128,14221
501227,29130,15271
657361,7235,625
518373,38958,18041
447078,18455,4247
551176,38360,18935
561154,35088,12878
667246,11286,4801
423171,14112,3703
434573,23340,16944
608152,35285,19885
557640,48720,25005
446173,52582,16431
454728,28281,17042
303582,5621,451
624365,53510,23588
460732,27602,9903
668126,17131,16157
474506,22858,11501
477537,25558,12430
601117,65707,22594
528177,38231,12646
532264,17379,6595
727078,51317,25905
616459,28733,13679
528100,59509,31072
706092,27601,14754
578770,37057,19825
551902,26307,8549
253495,27708,200
770533,65949,28091
534570,7615,1043
492637,28503,4081
570600,47326,16941
498857,23171,19853
505209,47983,21935
479536,10581,7587
424082,1474,7669
585632,81171,32011
506708,34199,17797
584642,25748,13581
587440,48094,25775
487658,39785,80072
432279,42856,24757
479053,24916,9151
464435,37703,23144
617079,43668,25496
604999,31980,18197
407192,20783,19033
563668,35613,15154
504105,32718,15384
536676,38350,22792
730510,34894,6218
498300,45277,14970
531456,29369,15292
506686,29792,12619
526828,29690,21814
243495,16406,173
426390,29817,10532
479832,25977,12508
584279,23195,6653
466047,20955,10206
443312,990,12913
541870,26392,7516
505956,11139,6129
558394,46776,16536
455679,38975,12126
420391,25282,14210
646229,20255,14222
519513,24530,16460
485651,44781,50277
498393,7188,1360
457265,21777,9939
533811,50379,22732
417161,7412,3517
465009,34797,16742
511851,2334,418
475029,29980,10650
458409,19849,9978
561911,31887,20558
638277,34473,35241
557191,64887,30869
662461,37906,21546
400229,56561,28533
548001,31773,7611
535425,27948,8150
508844,63068,22465
313764,2702,29
383122,26979,15379
697295,67254,30730
519597,32451,10641
467841,38152,21811
538126,24301,16529
505662,29183,30640
519348,49150,26653
539484,35161,21009
573893,5208,557
501729,40343,21381
550715,38304,21934
604308,85639,32795
609252,56429,30226
483624,32008,17024
552878,34508,27397
511769,14148,28207
516893,37655,25580
497162,22237,5702
566684,81086,22494
576299,44397,29676
495893,42959,16323
467181,45551,18862
586428,33898,13586
399298,16246,10608
587818,50481,45978
488942,4670,1300
574915,27977,8116
710602,57590,27026
626350,58665,19042
529993,49321,14199
539068,73015,46867
547529,49805,26976
531449,25558,11870
350647,9049,12667
619845,31096,18139
475917,17947,4131
574660,28737,15817
478011,46513,42826
463914,26134,11603
666782,29771,12217
659976,69942,29553
630247,61333,27582
499657,27928,23683
451406,21379,16182
289787,13489,220
542651,29257,11284
557427,17956,7262
571403,67098,48954
605238,1095,158
579496,23341,5720
636452,4604,359
322399,9653,661
427283,9130,6831
529211,67996,20467
587886,56105,26072
482797,20736,8575
